1	-0.018	29.817	-0.007	-3.484	1.997	2.008	2.007	1.997	2.001	2.000	1.998	2.002	2.006	1.021								
2	-0.034	29.818	-0.006	-3.486	1.997	2.004	2.000	1.993	1.999	1.999	2.000	2.001	1.997	0.991								
3	-0.018	29.855	0.000	-3.493	2.001	2.004	1.999	1.993	2.003	2.002	2.007	1.998	1.998	0.994								
4	-0.015	29.856	0.004	-3.499	2.001	2.000	2.000	1.994	2.006	2.000	2.006	2.002	1.994	0.989								
5	-0.005	29.858	0.014	-3.511	2.009	1.998	1.999	1.995	2.003	1.998	2.006	2.004	1.998	0.995								
6	0.009	29.858	0.016	-3.514	2.005	1.998	2.000	1.993	2.002	1.994	2.006	2.002	1.996	0.998								
7	0.031	29.842	0.014	-3.515	2.003	1.996	1.999	1.991	2.006	1.990	2.008	2.009	1.996	1.021								
8	0.029	29.847	0.014	-3.517	2.001	2.000	1.999	1.991	2.001	1.991	2.008	2.005	1.997	0.989								
9	0.041	29.837	0.010	-3.516	2.001	1.999	2.000	1.989	2.005	1.996	2.011	2.004	1.994	0.986								
10	0.027	29.839	0.011	-3.519	2.001	1.998	2.000	1.989	1.999	1.994	2.008	2.002	1.994	0.989								
11	0.016	29.891	0.009	-3.519	2.001	2.000	2.004	1.990	2.003	1.995	2.008	2.002	1.998	0.995								
12	0.002	29.898	0.002	-3.514	2.007	1.999	2.000	1.989	2.002	1.994	2.010	2.002	1.994	0.989								
13	-0.001	29.863	-0.008	-3.505	2.007	2.000	2.000	1.987	1.999	1.995	2.008	2.004	1.998	0.992								
14	-0.027	29.861	-0.017	-3.497	2.003	1.999	2.001	1.986	1.999	1.996	2.007	2.002	2.002	0.998								
15	-0.024	29.885	-0.017	-3.498	2.003	2.004	2.006	1.987	1.998	1.996	2.007	2.003	2.002	0.989								
16	-0.034	29.883	-0.016	-3.500	2.001	2.000	2.003	1.987	1.996	1.992	2.004	2.006	2.002	0.992								
17	-0.026	29.834	-0.015	-3.502	2.004	2.001	2.004	1.990	1.993	1.996	2.004	2.010	1.998	0.989								
18	-0.015	29.834	-0.011	-3.505	2.003	2.003	2.006	1.987	1.993	1.995	2.000	2.010	2.000	0.993								
19	0.004	29.793	-0.006	-3.509	2.004	2.004	2.004	1.990	1.993	1.996	1.998	2.005	2.002	1.026								
20	-0.002	29.788	-0.001	-3.514	2.004	2.000	2.003	1.990	1.993	1.999	2.000	2.006	2.006	1.002								
21	0.014	29.789	0.003	-3.516	2.022	1.999	2.002	1.991	1.993	1.999	1.999	2.008	2.008	0.992								
22	0.011	29.791	0.004	-3.516	2.009	2.003	2.000	1.991	1.993	1.999	2.000	2.005	2.008	0.988								
23	0.010	29.807	0.010	-3.519	2.013	2.004	2.002	1.991	1.995	1.998	1.999	2.008	2.002	0.992								
24	0.008	29.807	0.012	-3.520	2.008	2.004	2.001	1.991	1.995	2.002	2.000	2.002	2.004	0.989								
25	0.013	29.822	0.014	-3.519	2.005	2.008	2.002	1.991	1.993	1.996	1.999	2.000	2.003	1.022								
26	-0.002	29.821	0.012	-3.515	2.005	2.011	2.004	1.995	2.001	1.996	1.999	2.002	2.001	0.990								
27	-0.001	29.855	0.011	-3.512	2.006	2.010	2.003	1.995	1.998	2.004	1.999	2.001	2.001	0.993								
28	-0.013	29.851	0.007	-3.506	2.004	2.008	2.002	1.997	1.998	2.002	2.000	2.002	2.002	0.996								
29	-0.001	29.855	0.009	-3.505	2.003	2.006	2.000	1.995	1.998	2.003	2.002	2.008	2.002	0.988								
30	0.015	29.848	0.005	-3.500	2.005	2.006	1.996	1.995	1.999	2.008	2.000	2.005	1.998	0.991								
31	0.028	29.853	-0.004	-3.489	2.004	2.006	1.995	1.996	1.999	2.006	2.000	2.001	2.000	0.990								
32	0.008	29.851	-0.009	-3.483	2.001	2.004	1.996	1.995	1.999	2.004	1.999	2.002	2.001	0.990								
33	0.012	29.828	-0.024	-3.466	1.999	2.004	1.996	1.995	2.002					0.994								
34	-0.003	29.833	-0.016	-3.474	1.997	2.003	1.995	1.997	2.010					0.996								
35	-0.017	29.842	-0.014	-3.476	2.000	2.002	1.992	1.996	2.003					0.986								
36	-0.026	29.848	-0.011	-3.479	2.000	2.003	1.999	1.997	2.002					0.990								
