t [s]	constraint6.Ti [Nm]	constraint2.Ti [Nm]
0.0000	-0.000000000000000	0.631988612195213
0.0001	-0.000000000000000	-0.000000000000000
0.0002	-0.000000000000000	-0.000000000000000
0.0003	-0.000000000000000	-0.000000000000000
0.0004	38.460285191948486	-0.000000000000000
0.0005	48.318006531017872	-0.000000000000000
0.0006	9.139591011106505	-0.001568743061095
0.0007	53.958143110832040	-0.000808546138702
0.0008	7.811064430911626	-6.297890678234734
0.0009	24.334395423406448	-114.272914458263244
0.0010	27.289392688998781	-36.063243360555568
0.0011	3.831546325521255	-49.813229456445690
0.0012	15.761326941215534	-9.579277562213386
0.0013	-0.000000000000000	-15.378663795636346
0.0014	-0.000000000000000	-40.734822433074825
0.0015	-0.000000000000000	-5.604479080794432
0.0016	-0.000000000000000	0.000063036863326
0.0017	-0.000000000000000	0.000008296291232
0.0018	-0.000000000000000	-8.737900262271665
0.0019	-7.625295018692349	47.010200177879689
0.0020	-0.125985218052225	20.179487810354452
0.0021	-1.332375174542079	0.000006147640516
0.0022	1.407252987726119	0.000046304662791
0.0023	14.189821242146929	0.000042902009132
0.0024	-0.000000000000000	-7.170046893056165
0.0025	-0.000000000000000	4.497581261984715
0.0026	1.105104104516650	11.317511454556223
0.0027	2.808478656352026	-0.000009084041798
0.0028	0.027103098961446	8.998420555965923
0.0029	-0.000000000000000	9.731513028303670
0.0030	-0.000000000000000	-3.068192461962922
0.0031	-0.000000000000000	-63.736238646497377
0.0032	26.955258271661108	-10.120941329136182
0.0033	2.499943946966410	-0.763142606058287
0.0034	-0.000000000000000	0.489445668189521
0.0035	11.074257921818035	12.688541928058140
0.0036	3.939202166798409	3.849026098136761
0.0037	0.500822926850692	-0.000002662154344
0.0038	4.066260840679925	-0.000002498110600
0.0039	-4.968856254883502	-0.000001706409741
0.0040	-0.000000000000000	-0.000000837787832
0.0041	0.200673381043139	0.000000432355730
0.0042	1.148017056662084	-12.212373734636691
0.0043	0.444084790357215	-12.596462627903385
0.0044	-0.000000000000000	22.904285032767820
0.0045	-0.000000000000000	36.996740222656420
0.0046	-9.211930886189583	3.938071102752220
0.0047	0.195339957590962	-0.000000220781119
0.0048	-6.356238393204165	-0.283000936073286
0.0049	-6.635426668427959	1.722108574001405
0.0050	-2.904607615285964	7.253955208669609
0.0051	2.000857565999063	0.268361897245277
0.0052	-5.241901704730632	-1.649467028111603
0.0053	-0.110661306552331	-5.640045821682466
0.0054	-0.000000000000000	-3.006164262814287
0.0055	-0.000000000000000	-0.182361001710368
0.0056	-0.000000000000000	-0.080007289978971
0.0057	-0.000000000000000	-0.923604789223460
0.0058	-0.000000000000000	-1.269495729496368
0.0059	1.420595558143674	-41.935218335150324
0.0060	7.745730724890267	-5.664778840893327
0.0061	9.130777705346716	14.960131602177645
0.0062	-6.574289532159560	-3.661951163445893
0.0063	-0.004284560939062	-9.845692421466092
0.0064	-0.000000000000000	-0.929903314754457
0.0065	-0.000000000000000	-0.084856917308398
0.0066	-0.000000000000000	-0.245741413636303
0.0067	-0.000000000000000	2.183342525712564
0.0068	-0.000000000000000	5.597454662766169
0.0069	-0.000000000000000	0.512289437789569
0.0070	-0.000000000000000	-4.210879112159994
0.0071	-1.849712858667946	-3.800465389520156
0.0072	-4.717463629725156	-0.087344282156888
0.0073	6.623909332320512	-0.000000006126879
0.0074	12.395068320011136	-0.000000008587905
